Timestamp,Stock,Buy Price,Current Price,P/L
2026-07-03 04:57:45,AAPL,100.0,308.39,208.39
2026-07-03 04:57:45,GOOGL,3000.0,354.48,-2645.52
2026-07-03 04:57:45,TSLA,700.0,391.3,-308.7
2026-07-03 04:57:45,AMZN,200.0,244.86,44.86
2026-07-03 04:57:45,MSFT,550.0,389.94,-160.06
2026-07-03 04:57:45,NKE,150.0,43.88,-106.12
2026-07-03 04:57:45,META,300.0,585.2,285.2
2026-07-03 04:57:45,BA,50.0,224.71,174.71
2026-07-03 04:57:45,TOTAL,,,-2507.24
2026-07-03 04:58:07,AAPL,100.0,308.22,208.22
2026-07-03 04:58:07,GOOGL,3000.0,354.36,-2645.64
2026-07-03 04:58:07,TSLA,700.0,391.08,-308.92
2026-07-03 04:58:07,AMZN,200.0,244.7,44.7
2026-07-03 04:58:07,MSFT,550.0,389.72,-160.28
2026-07-03 04:58:07,NKE,150.0,43.92,-106.08
2026-07-03 04:58:07,META,300.0,584.7,284.7
2026-07-03 04:58:07,BA,50.0,224.71,174.71
2026-07-03 04:58:07,TOTAL,,,-2508.59
